date,country,value
2010-03-01,"Hong Kong, China",32218.303750408
2010-04-01,"Hong Kong, China",32132.787704247203
2010-05-01,"Hong Kong, China",34435.9932004821
2010-06-01,"Hong Kong, China",35107.5645457553
2010-07-01,"Hong Kong, China",33547.8476955224
2010-08-01,"Hong Kong, China",35403.085457304
2010-09-01,"Hong Kong, China",34382.0162696836
2010-10-01,"Hong Kong, China",32616.004805815
2010-11-01,"Hong Kong, China",34602.049078401404
2010-12-01,"Hong Kong, China",33586.5675302296
2011-01-01,"Hong Kong, China",38940.765979109
2011-02-01,"Hong Kong, China",38445.3558247915
2011-03-01,"Hong Kong, China",37942.1859281319
2011-04-01,"Hong Kong, China",33439.1755409953
2011-05-01,"Hong Kong, China",36115.1666559338
2011-06-01,"Hong Kong, China",38689.0856267693
2011-07-01,"Hong Kong, China",38685.9702161092
2011-08-01,"Hong Kong, China",40201.313457895
2011-09-01,"Hong Kong, China",35943.072318238796
2011-10-01,"Hong Kong, China",40487.3833514684
2011-11-01,"Hong Kong, China",39336.8887867125
2011-12-01,"Hong Kong, China",37217.1756603181
2012-01-01,"Hong Kong, China",36934.86012631
2012-02-01,"Hong Kong, China",47114.1639887236
2012-03-01,"Hong Kong, China",38489.7167593282
2012-04-01,"Hong Kong, China",41013.604522233596
2012-05-01,"Hong Kong, China",41838.3655043338
2012-06-01,"Hong Kong, China",39632.5771252889
2012-07-01,"Hong Kong, China",39740.399686134704
2012-08-01,"Hong Kong, China",41100.3077721644
2012-09-01,"Hong Kong, China",42214.7984864308
2012-10-01,"Hong Kong, China",38080.7308935216
2012-11-01,"Hong Kong, China",42144.3027953891
2012-12-01,"Hong Kong, China",46136.464352163704
2013-01-01,"Hong Kong, China",43994.096370943495
2013-02-01,"Hong Kong, China",44214.742727976794
2013-03-01,"Hong Kong, China",50513.8716305829
2013-04-01,"Hong Kong, China",45489.267511287
2013-05-01,"Hong Kong, China",43950.7530603118
2013-06-01,"Hong Kong, China",42028.1648860181
2013-07-01,"Hong Kong, China",44485.019472905704
2013-08-01,"Hong Kong, China",44368.3568669504
2013-09-01,"Hong Kong, China",43581.0230267796
2013-10-01,"Hong Kong, China",44712.11671364
2013-11-01,"Hong Kong, China",43929.2700732775
2013-12-01,"Hong Kong, China",44185.0765629443
2014-01-01,"Hong Kong, China",44651.666014917806
2014-02-01,"Hong Kong, China",43802.1239910076
2014-03-01,"Hong Kong, China",44432.361974769294
2014-04-01,"Hong Kong, China",41939.792725827596
2014-05-01,"Hong Kong, China",42789.1067311099
2014-06-01,"Hong Kong, China",43434.0606342324
2014-07-01,"Hong Kong, China",42882.245354512204
2014-08-01,"Hong Kong, China",43045.4203558494
2014-09-01,"Hong Kong, China",43946.839730565
2014-10-01,"Hong Kong, China",44450.025816918605
2014-11-01,"Hong Kong, China",44795.3508745113
2014-12-01,"Hong Kong, China",43772.6999833187
2015-01-01,"Hong Kong, China",44298.1138651105
2015-02-01,"Hong Kong, China",44327.1503474133
2015-03-01,"Hong Kong, China",41882.7041727786
2015-04-01,"Hong Kong, China",41473.355208389505
2015-05-01,"Hong Kong, China",40766.2466180817
2015-06-01,"Hong Kong, China",41366.328946852795
2015-07-01,"Hong Kong, China",43599.6300032584
2015-08-01,"Hong Kong, China",41811.2320604215
2015-09-01,"Hong Kong, China",42311.8845336743
2015-10-01,"Hong Kong, China",42449.5827816275
2015-11-01,"Hong Kong, China",41807.194509192
2015-12-01,"Hong Kong, China",45030.6566613579
2016-01-01,"Hong Kong, China",40722.477659203796
2016-02-01,"Hong Kong, China",39686.0958193711
2016-03-01,"Hong Kong, China",39985.4354984505
2016-04-01,"Hong Kong, China",42877.969130157006
2016-05-01,"Hong Kong, China",43530.5811900018
2016-06-01,"Hong Kong, China",43980.970776982
2016-07-01,"Hong Kong, China",44357.572007469804
2016-08-01,"Hong Kong, China",42630.1688829743
2016-09-01,"Hong Kong, China",43969.6434832667
2016-10-01,"Hong Kong, China",42545.137780337594
2016-11-01,"Hong Kong, China",45418.7627785094
2016-12-01,"Hong Kong, China",45861.556595328395
2017-01-01,"Hong Kong, China",40452.7605444599
2017-02-01,"Hong Kong, China",49235.0504486837
2017-03-01,"Hong Kong, China",48102.524077687995
2017-04-01,"Hong Kong, China",46194.5077956421
2017-05-01,"Hong Kong, China",42640.3844106313
2017-06-01,"Hong Kong, China",49713.14535925139
2017-07-01,"Hong Kong, China",45183.6860251033
2017-08-01,"Hong Kong, China",45122.9388593862
